,Recife,Olinda,Paulista,Goiana,Pitimbu,Conde,Joao Pessoa,Cabedelo,Baia Formosa,Pipa,Nisia Floresta,Natal,Extremoz,Touros,Sao Miguel Gostoso,Mossoro,Tibau,Icapui,Aracati,Beberibe,Aquiraz,Fortaleza
Recife,0.0,7.2,15.0,60.0,-,-,116.4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Olinda,7.2,0.0,11.8,55.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Paulista,15.0,11.8,0.0,49.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Goiana,60.0,55.0,49.0,0.0,24.8,-,60.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Pitimbu,-,-,-,24.8,0.0,30.2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Conde,-,-,-,-,30.2,0.0,24.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Joao Pessoa,116.4,-,-,60.0,-,24.5,0.0,18.1,85.0,90.0,-,179.8,-,-,-,-,-,-,-,-,-,-
Cabedelo,-,-,-,-,-,-,18.1,0.0,70.0,-,-,-,-,-,-,-,-,-,-,-,-,-
Baia Formosa,-,-,-,-,-,-,85.0,70.0,0.0,35.4,-,-,-,-,-,-,-,-,-,-,-,-
Pipa,-,-,-,-,-,-,90.0,-,35.4,0.0,44.8,-,-,-,-,-,-,-,-,-,-,-
Nisia Floresta,-,-,-,-,-,-,-,-,-,44.8,0.0,29.6,-,-,-,-,-,-,-,-,-,-
Natal,-,-,-,-,-,-,179.8,-,-,-,29.6,0.0,19.8,90.0,-,281.4,-,-,-,-,-,515.2
Extremoz,-,-,-,-,-,-,-,-,-,-,-,19.8,0.0,80.0,-,250.0,-,-,-,-,-,-
Touros,-,-,-,-,-,-,-,-,-,-,-,90.0,80.0,0.0,24.7,180.0,-,-,-,-,-,-
Sao Miguel Gostoso,-,-,-,-,-,-,-,-,-,-,-,-,-,24.7,0.0,-,140.0,-,-,-,-,-
Mossoro,-,-,-,-,-,-,-,-,-,-,-,281.4,250.0,180.0,-,0.0,60.0,100.0,140.0,220.0,240.0,-
Tibau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140.0,60.0,0.0,31.2,-,-,-,-
Icapui,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,100.0,31.2,0.0,49.6,-,-,-
Aracati,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,140.0,-,49.6,0.0,64.8,-,150.0
Beberibe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,220.0,-,-,64.8,0.0,54.2,-
Aquiraz,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,240.0,-,-,-,54.2,0.0,30.5
Fortaleza,-,-,-,-,-,-,-,-,-,-,-,515.2,-,-,-,-,-,-,150.0,-,30.5,0.0
